ssn,first_name,last_name,birthdate,gender,address,city,state,department,email,salary
408-32-6332,Bart,Pomfrey,8/22/91,Male,6 Mosinee Center,Stamford,Connecticut,Computers,bpomfrey0@unicef.org,30000
111-11-1111,David,Ladd,1/1/00,Male,1600 Pennsylvania Avenue,Washington,District of Columbia,Executive,doj@whitehouse.gov,12345.67
568-44-2550,Nikki,Smith,1/13/65,Female,05126 Dayton Drive,Lubbock,Texas,Grocery,ncorkitt2@discuz.net,16412.75
608-20-3124,Germaine,Langfitt,10/25/71,Male,884 Scott Plaza,Baton Rouge,Louisiana,Beauty,glangfitt3@wired.com,25879.46
642-32-9074,Kizzie,McIlrath,8/26/81,Male,35768 Myrtle Court,Las Vegas,Nevada,Computers,kmcilrath4@hibu.com,20022.74
697-70-0946,Rudolfo,Rothermel,2/3/96,Male,3380 Karstens Hill,Shawnee Mission,Kansas,Sports,rrothermel5@behance.net,17674.22
705-47-7521,Delinda,Treuge,12/3/70,Female,560 Homewood Crossing,Brooklyn,New York,Computers,dtreuge6@exblog.jp,28709.53
385-28-8375,Vitoria,Sueter,11/20/68,Male,9 Weeping Birch Junction,Torrance,California,Jewelry,vsueter7@blogs.com,35125.55
413-06-8866,Yorgo,Najera,1/24/77,Female,6953 Clemons Drive,Memphis,Tennessee,Industrial,ynajera8@acquirethisname.com,30031.52
244-61-6522,Monroe,Armit,11/29/84,Female,0291 Heath Center,Reno,Nevada,Toys,marmit9@guardian.co.uk,24005.06
431-23-1966,Brenna,Hubner,5/16/77,Male,8085 Oak Drive,Davenport,Iowa,Games,bhubnera@smugmug.com,23191.09
797-08-5844,Celinda,Maynard,5/16/94,Male,2 Morning Place,Santa Cruz,California,Electronics,cmaynardb@earthlink.net,29973.49
888-68-3792,Asia,Oven,12/2/61,Female,04588 Vidon Court,Akron,Ohio,Home,aovenc@google.nl,29430.22
511-35-3408,Ly,Dufour,11/27/76,Male,46 Sherman Drive,Houston,Texas,Books,ldufourd@flavors.me,20446.12
699-67-2281,Estelle,Glanfield,12/16/76,Male,19993 Moland Circle,El Paso,Texas,Computers,eglanfielde@dedecms.com,21885.51
593-56-4693,Gusty,Bassham,3/20/85,Male,820 Jay Center,Columbus,Georgia,Games,gbasshamf@ning.com,19405.24
693-32-3505,Ernesto,Lidgley,5/1/90,Female,26128 Mcbride Place,Atlanta,Georgia,Kids,elidgleyg@blog.com,19504.96
788-38-5554,Darelle,Brodbin,10/12/62,Male,83193 Russell Point,Clearwater,Florida,Outdoors,dbrodbinh@google.com,24116.27
312-48-2538,Rosemary,Mabley,10/24/89,Female,9346 Fairview Parkway,Lansing,Michigan,Clothing,rmableyi@sfgate.com,21484.91
555-62-1580,Pat,Swinney,5/23/67,Male,14126 Pankratz Plaza,Honolulu,Hawaii,Sports,pswinneyj@flavors.me,20049.78
308-18-0865,Lanae,Smithen,2/16/89,Male,46 Comanche Center,Los Angeles,California,Toys,lsmithenk@ocn.ne.jp,27427.44
144-01-2333,Scarlett,Bilsford,12/31/94,Male,26043 Waywood Way,Arlington,Texas,Movies,sbilsfordl@unblog.fr,26703.09
